emotion,version,alpha,accuracy,target_prob_mean,target_prob_std,confidence_mean,entropy_mean,margin_mean,emotional_score,gain_mean,gain_positive_ratio,n_samples
happiness,alpha_7.0,7.0,0.0,0.0038581229746341705,0.0,0.5346240997314453,0.620508706119048,0.39986367523670197,0.0,-0.016194019466638565,0.0,1
happiness,default,default,0.0,0.002037559635937214,0.0,0.4893299639225006,0.5692567825687807,0.4374723955988884,1.0,-0.01801458280533552,0.0,1
sadness,alpha_0.5,0.5,0.0,0.023273665457963943,0.0,0.5383894443511963,0.5469983667010659,0.5151157788932323,0.0,0.01910456921905279,1.0,1
sadness,alpha_1.0,1.0,0.0,0.059598665684461594,0.0,0.39022669196128845,0.9374356409607199,0.3080454170703888,0.0,0.05542956944555044,1.0,1
sadness,alpha_1.5,1.5,0.0,0.006605823524296284,0.0,0.9426755905151367,0.16399731408086968,0.9322565067559481,0.0,0.002436727285385132,1.0,1
sadness,alpha_2.0,2.0,0.0,0.028477873653173447,0.0,0.14710502326488495,1.339626029543134,0.08033164590597153,0.0,0.024308777414262295,1.0,1
sadness,alpha_4.0,4.0,0.0,0.27949413657188416,0.0,0.5750754475593567,0.7629300264766792,0.29558131098747253,0.0,0.275325040332973,1.0,1
sadness,alpha_5.0,5.0,0.0,0.0010327751515433192,0.0,0.9976853132247925,0.011848857923031943,0.9966525380732492,0.0,-0.0031363210873678327,0.0,1
sadness,alpha_6.0,6.0,0.0,0.00047306192573159933,0.0,0.9993746876716614,0.00435324283994378,0.9989016257459298,0.0,-0.0036960343131795526,0.0,1
sadness,alpha_7.0,7.0,0.0,0.0004449244006536901,0.0,0.9993487000465393,0.004629052000387971,0.9989037756458856,0.0,-0.003724171838257462,0.0,1
sadness,default,default,0.0,0.010104860179126263,0.0,0.9753221273422241,0.13673373208231548,0.9652172671630979,0.0,0.005935763940215111,1.0,1
disgust,alpha_0.5,0.5,0.0,0.0035602471325546503,0.0,0.7874903082847595,0.4404017515857195,0.7144056484103203,1.0,0.002830063400324434,1.0,1
disgust,alpha_1.0,1.0,0.0,0.009709865786135197,0.0,0.35850751399993896,1.0556930441492156,0.18070262670516968,0.0,0.00897968205390498,1.0,1
disgust,alpha_1.5,1.5,0.0,0.027777645736932755,0.0,0.22527550160884857,1.4434505535252193,0.009287223219871521,0.0,0.027047462004702538,1.0,1
disgust,alpha_2.0,2.0,0.0,0.01590035855770111,0.0,0.5857040286064148,0.670041288750399,0.5231687128543854,0.0,0.015170174825470895,1.0,1
disgust,alpha_4.0,4.0,0.0,0.007441175170242786,0.0,0.8608588576316833,0.24457232309278676,0.8372094687074423,0.0,0.00671099143801257,1.0,1
disgust,alpha_5.0,5.0,0.0,0.009263517335057259,0.0,0.6002635955810547,0.7516015910946823,0.296699583530426,1.0,0.008533333602827042,1.0,1
disgust,alpha_6.0,6.0,0.0,0.00016030132246669382,0.0,0.9877499938011169,0.06734404108825123,0.9797574253752828,0.0,-0.0005698824097635224,0.0,1
disgust,alpha_7.0,7.0,0.0,0.0022137435153126717,0.0,0.9279695153236389,0.1381952622406912,0.9123335629701614,0.0,0.0014835597830824554,1.0,1
disgust,default,default,0.0,0.0006078494479879737,0.0,0.9774697422981262,0.09285549280958004,0.9678769176825881,0.0,-0.00012233428424224257,0.0,1
fear,alpha_0.5,0.5,0.0,0.0018491739174351096,0.0,0.12715022265911102,1.3352797266194978,0.02102973312139511,0.0,0.0017714181667543016,1.0,1
fear,alpha_1.0,1.0,0.0,0.0018305573612451553,0.0,0.3676433861255646,0.8564278956452384,0.3067668192088604,0.0,0.0017528016105643474,1.0,1
fear,alpha_1.5,1.5,0.0,0.001583480043336749,0.0,0.5338293313980103,0.6048592481079367,0.5041969828307629,0.0,0.001505724292655941,1.0,1
fear,alpha_2.0,2.0,0.0,0.0011743360664695501,0.0,0.5707831382751465,1.0045006656566728,0.3160758316516876,0.0,0.0010965803157887422,1.0,1
fear,alpha_4.0,4.0,0.0,2.3932050680741668e-05,0.0,0.5281609892845154,0.717084840302276,0.06113967299461365,0.0,-5.382370000006631e-05,0.0,1
fear,alpha_5.0,5.0,0.0,7.294886017916724e-05,0.0,0.9874039888381958,0.06849676712293004,0.979597631841898,0.0,-4.806890501640737e-06,0.0,1
fear,alpha_6.0,6.0,0.0,0.00031678282539360225,0.0,0.6256526708602905,0.7034009948802493,0.267982542514801,0.0,0.00023902707471279427,1.0,1
fear,alpha_7.0,7.0,0.0,7.897394971223548e-05,0.0,0.9754307866096497,0.1183364213408896,0.9590882677584887,0.0,1.2181990314275026e-06,1.0,1
fear,default,default,0.0,0.00036536590778268874,0.0,0.8952367305755615,0.3366737035590734,0.8119878023862839,0.0,0.00028761015710188076,1.0,1
surprise,alpha_0.5,0.5,0.0,0.0009526849607937038,0.0,0.2288191169500351,1.4646618087036425,0.0703067034482956,0.0,0.0009512374049336358,1.0,1
surprise,alpha_1.0,1.0,0.0,0.00030029096524231136,0.0,0.06997999548912048,1.4209232159991405,0.04447350837290287,0.0,0.0002988434093822434,1.0,1
surprise,alpha_1.5,1.5,0.0,8.37794432300143e-05,0.0,0.11285275965929031,1.363288779381397,0.06659598276019096,0.0,8.233188736994634e-05,1.0,1
surprise,alpha_2.0,2.0,0.0,0.0005295661394484341,0.0,0.1632995307445526,1.2907051284644049,0.11723639443516731,0.0,0.0005281185835883662,1.0,1
surprise,alpha_4.0,4.0,0.0,0.0004029502742923796,0.0,0.7471741437911987,0.6010895048419149,0.6615733429789543,1.0,0.00040150271843231167,1.0,1
surprise,alpha_5.0,5.0,0.0,0.0009660260402597487,0.0,0.8405143618583679,0.5075952337027592,0.7658476755023003,1.0,0.0009645784843996807,1.0,1
surprise,alpha_6.0,6.0,0.0,5.500147744896822e-05,0.0,0.9965050220489502,0.022385676048917266,0.9952014940790832,1.0,5.3553921588900266e-05,1.0,1
surprise,alpha_7.0,7.0,0.0,0.000617162324488163,0.0,0.9547628164291382,0.2094448781840072,0.9263348095119,1.0,0.000615714768628095,1.0,1
surprise,default,default,0.0,0.0019653625786304474,0.0,0.8132365942001343,0.5979561041674434,0.6663533300161362,1.0,0.0019639150227703794,1.0,1
